Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.8809523809523809,0.8835858585858586,0.8809523809523809,0.8766283524904215
Logistic Regression,0.9047619047619048,0.918954248366013,0.9047619047619048,0.9006921270547522
