Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9285714285714286,0.9411764705882352,0.9285714285714285,0.927741935483871
SVM,0.9285714285714286,0.9411764705882352,0.9285714285714285,0.927741935483871
