Model,Accuracy,Precision,Recall,F1-Score
KNN,0.8809523809523809,0.8835858585858586,0.8809523809523809,0.8766283524904215
Naive Bayes,0.8809523809523809,0.8870639164756812,0.8809523809523809,0.8772657450076805
