Model,Accuracy,Precision,Recall,F1-Score
Gradient Boosting,0.9285714285714286,0.9361111111111112,0.9285714285714285,0.9262835249042146
MLP,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.844574780058651
